"BOTTOM","TOP","ECHT"
9,9.7,"WAHR"
8.1,9.5,"WAHR"
8.7,9.6,"WAHR"
9,10.1,"WAHR"
7.9,9.6,"WAHR"
8.2,11,"WAHR"
9.2,10,"WAHR"
7.9,11.7,"WAHR"
7.7,10.5,"WAHR"
7.9,10.8,"WAHR"
7.7,10.9,"WAHR"
7.7,10.8,"WAHR"
8.2,9.8,"WAHR"
8.6,10,"WAHR"
8.4,10,"WAHR"
8.1,10.3,"WAHR"
8.4,10.8,"WAHR"
8.7,10,"WAHR"
8,11,"WAHR"
8.9,9.8,"WAHR"
9.8,9.5,"WAHR"
7.9,10.7,"WAHR"
7.7,10.5,"WAHR"
8.4,10.3,"WAHR"
8.9,10.6,"WAHR"
9.4,9.7,"WAHR"
8.4,9.7,"WAHR"
7.9,10,"WAHR"
8.5,9.3,"WAHR"
8.1,9.7,"WAHR"
8.9,9.4,"WAHR"
8.8,9.9,"WAHR"
9,9.8,"WAHR"
8.2,10.2,"WAHR"
8.3,10.2,"WAHR"
8.3,10.2,"WAHR"
7.9,10.3,"WAHR"
7.8,9.8,"WAHR"
9.5,9.7,"WAHR"
7.8,10.9,"WAHR"
7.6,10.9,"WAHR"
7.9,10,"WAHR"
9.2,9.4,"WAHR"
9.2,10.4,"WAHR"
7.9,11,"WAHR"
8.2,10.3,"WAHR"
8.3,9.9,"WAHR"
8,10.6,"WAHR"
8,10.8,"WAHR"
8.6,10.6,"WAHR"
8.8,10.6,"WAHR"
7.7,10.3,"WAHR"
9.1,9.5,"WAHR"
8.6,9.8,"WAHR"
8,11.2,"WAHR"
8.4,11.1,"WAHR"
8.2,10.3,"WAHR"
8.7,10,"WAHR"
7.6,10.7,"WAHR"
8.8,10,"WAHR"
7.9,10.9,"WAHR"
7.9,10,"WAHR"
8.6,10.3,"WAHR"
9,9.7,"WAHR"
7.9,10.8,"WAHR"
9,11.1,"WAHR"
8.9,10.2,"WAHR"
8.7,9.5,"WAHR"
8.4,10.2,"WAHR"
8,10.5,"WAHR"
8.6,9.6,"WAHR"
8.5,9.7,"WAHR"
8.2,9.9,"WAHR"
8.3,10,"WAHR"
9,9.5,"WAHR"
9.1,10.2,"WAHR"
8,10.3,"WAHR"
9.1,10.2,"WAHR"
7.8,10,"WAHR"
9.7,11.7,"FALSCH"
8.7,11.7,"FALSCH"
9.9,10.9,"FALSCH"
9.8,11.5,"FALSCH"
10.4,11.2,"FALSCH"
8,11.5,"FALSCH"
9.7,11.8,"FALSCH"
8.2,11.2,"FALSCH"
9.9,10.3,"FALSCH"
10.2,11.4,"FALSCH"
9.4,11.6,"FALSCH"
10.2,11.8,"FALSCH"
10.1,11.3,"FALSCH"
9.3,11.2,"FALSCH"
10.2,11,"FALSCH"
9.3,11.3,"FALSCH"
10.4,11,"FALSCH"
10.3,11.4,"FALSCH"
9.9,10.2,"FALSCH"
10,10.1,"FALSCH"
9.6,11.2,"FALSCH"
8.7,11.5,"FALSCH"
10.4,11.6,"FALSCH"
8.2,11.8,"FALSCH"
8,11.4,"FALSCH"
10.1,11.4,"FALSCH"
8.8,11,"FALSCH"
9.6,11,"FALSCH"
10.3,11.5,"FALSCH"
10.2,11.5,"FALSCH"
